ImgPath,label,leftelbow,lefthip,leftknee,rightelbow,righthip,rightknee,EKleft,EKright,EE,KK
/Test Data/Dataset82/35\2_166.jpg,35,118.0066534,94.61618333,41.54506351,140.4135661,60.66092267,147.2269896,73.40245608,41.32619216,119.5821104,94.8332641
/Test Data/Dataset82/35\2_175.jpg,35,125.693728,63.401653,129.043673,133.9632187,76.63210535,25.44653391,43.89332544,62.33568598,108.8431302,61.72707107
/Test Data/Dataset82/35\2_180.jpg,35,175.5411495,30.02031401,166.2855911,133.9588748,94.16652946,24.67496476,30.14902867,133.6181887,152.9778603,109.8868313
/Test Data/Dataset82/35\2_181.jpg,35,175.5411495,30.02031401,166.2855911,133.9588748,94.16652946,24.67496476,30.14902867,133.6181887,152.9778603,109.8868313
/Test Data/Dataset82/35\2_186.jpg,35,124.192639,43.52125383,146.4364155,116.4193751,93.6230234,21.57824326,29.90159049,85.57697447,74.4108106,95.29699291
/Test Data/Dataset82/35\2_2.jpg,35,171.9188108,48.55821664,21.88945854,137.3812103,16.91163764,176.3561537,34.51757383,55.69439372,106.2943781,151.8365404
/Test Data/Dataset82/35\2_209.jpg,35,138.7773996,94.65224153,125.5657114,147.470492,78.39144416,9.023242808,70.38665037,77.256755,79.94338473,48.53625538
/Test Data/Dataset82/35\2_219.jpg,35,122.2612874,100.1582413,49.24291915,139.1525045,77.27956842,168.9251777,82.94721034,44.52585846,101.8502164,91.21775309
/Test Data/Dataset82/35\2_229.jpg,35,,,,,,,,,,
/Test Data/Dataset82/35\2_252.jpg,35,142.0493047,75.2222505,30.97165808,139.4791948,23.69131869,145.417078,84.90846963,19.35597561,137.735812,146.2687279
/Test Data/Dataset82/35\2_28.jpg,35,139.0793793,86.51638129,135.7511092,143.7497656,89.72963837,23.22790014,58.72360363,83.67910451,65.57478659,69.81755178
/Test Data/Dataset82/35\2_329.jpg,35,106.3452248,56.14329478,10.29296121,139.9665383,21.83095019,164.2463149,71.47708222,11.92323831,67.66669997,145.0091191
/Test Data/Dataset82/35\2_37.jpg,35,133.1958264,62.94227917,141.4940008,125.9623084,87.66979535,29.81812345,48.35041841,76.96360389,96.00023451,75.62596328
/Test Data/Dataset82/35\2_418.jpg,35,133.6811357,71.2539855,74.05685137,81.97884441,54.25560001,138.8863072,32.79623526,71.89554131,121.6998603,55.3518241
/Test Data/Dataset82/35\2_59.jpg,35,97.93348977,65.18208355,68.97408618,132.914134,97.53318673,12.60862866,34.57975164,81.61523738,108.3178059,62.91252469
/Test Data/Dataset82/35\2_66.jpg,35,108.5345419,90.70754556,44.78310398,109.5059272,89.13534715,164.7356297,72.42046825,46.45756916,112.063171,98.22304304
/Test Data/Dataset82/35\2_8.jpg,35,128.0354189,89.25515672,14.35868994,131.85804,31.53862906,142.0574769,91.23947246,6.634775497,122.0798301,112.9576416
/Test Data/Dataset82/35\2_90.jpg,35,165.0719841,61.79011783,166.9950066,161.1370389,98.9214814,143.905064,65.10089883,35.86915565,19.94394163,47.90618875
/Test Data/Dataset82/35\2_91.jpg,35,101.2134433,68.84743988,27.57153634,107.7383767,97.23100304,171.5245067,74.84953688,21.59628985,121.1901953,119.5664394
/Test Data/Dataset82/35\2_92.jpg,35,87.13413961,79.92346368,113.0046011,81.67421829,72.81037813,33.39100374,66.03339424,81.96534417,90.55253132,97.32832463
/Test Data/Dataset82/35\2_94.jpg,35,144.3687553,65.25859426,65.40435482,155.3183413,18.61825538,160.1539427,66.91362423,13.75942955,65.6388572,75.31406413
/Test Data/Dataset82/36\101.jpg,36,90.01955496,80.96398939,175.239804,108.2281226,113.6279617,160.9706825,55.18296468,97.76485487,62.33350571,98.14361448
/Test Data/Dataset82/36\104.jpg,36,,,,,,,,,,
/Test Data/Dataset82/36\111.jpg,36,124.1625928,93.84527579,175.6449779,103.7423072,32.38993759,171.6949399,38.52627833,76.07025004,118.4174701,47.04431638
/Test Data/Dataset82/36\113.jpg,36,133.1466865,35.49703247,169.5071165,151.3205866,51.97800239,172.0281787,37.02832298,38.35398787,59.53163917,41.31084645
/Test Data/Dataset82/36\12.jpg,36,88.73087891,68.177504,117.0181052,145.2481342,50.55163019,60.55005427,28.08792961,98.59497313,70.96054793,32.3856695
/Test Data/Dataset82/36\122.jpg,36,93.16557101,78.21757695,166.1786703,89.48317471,47.15286758,178.6139549,67.38475961,80.90980779,69.2529728,73.3655496
/Test Data/Dataset82/36\133.jpg,36,119.4301814,33.4436464,155.5446142,116.0446737,68.26745612,164.7571941,49.05058477,99.67954547,91.44093133,69.31398738
/Test Data/Dataset82/36\134.jpg,36,123.4967015,89.11132767,172.5064941,111.4489889,47.88649343,172.6242148,48.98342446,59.79728294,117.4167441,68.00277715
/Test Data/Dataset82/36\142.jpg,36,70.82914901,49.86910434,160.1537855,69.76288541,95.1218786,176.116646,101.9935166,146.286042,95.81060822,78.04421755
/Test Data/Dataset82/36\144.jpg,36,106.6527869,57.40446468,155.9419294,124.1692096,108.4260833,155.3599157,17.17690899,120.8923183,125.3136589,76.40345271
/Test Data/Dataset82/36\147.jpg,36,104.6912405,77.9996034,169.9958313,129.9648453,122.1159167,164.3127416,39.6703888,156.0261685,99.55101782,56.45527004
/Test Data/Dataset82/36\156.jpg,36,152.5663416,123.5542288,167.4579797,140.0917788,42.82554605,163.1803137,70.83571788,82.79739936,61.63382978,56.3794626
/Test Data/Dataset82/36\158.jpg,36,153.6164684,83.23991095,166.1389303,170.6345009,79.78120327,148.4732848,44.02244951,80.14279201,141.8656851,58.65448749
/Test Data/Dataset82/36\159.jpg,36,119.7939514,44.57848097,154.0980282,135.9810576,72.44562688,173.9888825,41.12181591,48.34695431,89.52509812,87.53757159
/Test Data/Dataset82/36\169.jpg,36,142.3090242,34.09032809,154.1961043,141.9110404,82.74702116,150.8501833,23.44972843,65.30751693,65.7155392,64.98656329
/Test Data/Dataset82/36\172.jpg,36,77.25727899,133.9805067,176.8173615,108.610956,104.0270333,171.8282099,101.4479452,113.77898,128.823317,85.09692272
/Test Data/Dataset82/36\176.jpg,36,149.7514908,98.94397722,170.7314947,89.2709788,87.97326966,161.2030681,122.0769664,85.56341586,68.99265332,87.70587716
/Test Data/Dataset82/36\183.jpg,36,,,,,,,,,,
/Test Data/Dataset82/36\196.jpg,36,102.6249528,59.41449564,175.3037734,96.03734916,95.48710066,146.3178874,58.78997918,124.8975791,106.9191704,71.67570579
/Test Data/Dataset82/36\199.jpg,36,126.9533097,65.31191726,150.8397239,87.61208265,48.0629742,166.7495632,115.7608668,78.29390641,60.79038628,64.2396042
/Test Data/Dataset82/36\243.jpg,36,158.5585896,108.7427313,170.890997,109.0612303,141.1918763,169.7489882,76.89498019,124.6067682,144.0031655,84.651635
/Test Data/Dataset82/36\25.jpg,36,175.025497,38.89234924,139.7326778,137.4907065,81.16847065,172.2181303,39.8476792,92.15991984,121.8320213,66.22639518
/Test Data/Dataset82/36\270.jpg,36,127.0960654,49.76342732,168.6382495,131.7381876,67.37229932,147.1709395,16.40406894,73.23615561,119.8913589,57.70591882
/Test Data/Dataset82/36\297.jpg,36,122.1939747,41.55539374,176.178597,127.6739244,66.31119953,154.8642624,9.305135211,71.57056028,106.4321282,51.99426309
/Test Data/Dataset82/36\298.jpg,36,158.1630708,114.508702,171.0720267,140.8363937,45.54896471,173.5620114,70.40110358,78.58114863,63.68157795,55.85694352
/Test Data/Dataset82/36\300.jpg,36,106.0039403,61.78746007,171.9395341,83.37025242,30.72058659,176.9943734,58.60050736,89.84956087,54.61857196,59.81616998
/Test Data/Dataset82/36\308.jpg,36,115.0845777,49.67507002,164.8315644,132.6926763,67.12367418,177.97763,40.4969361,53.75424353,81.74661911,79.75016029
/Test Data/Dataset82/36\315.jpg,36,103.6873183,44.95459703,107.0660046,107.9611255,39.62564616,158.9520067,40.10747,13.0887863,106.5661254,55.17288619
/Test Data/Dataset82/36\33.jpg,36,144.1372311,67.89156692,161.2589161,174.3037772,27.33021593,159.0042698,45.30368212,56.79435208,55.57311252,54.89155556
/Test Data/Dataset82/36\335.jpg,36,105.2125158,86.37328532,167.3209064,144.2761388,120.5530917,152.8458895,50.63236122,127.5209141,119.24202,44.84601375
/Test Data/Dataset82/36\337.jpg,36,152.4994799,82.19059545,169.8602009,169.9250993,133.9499683,130.6672259,18.34289456,156.1925869,136.0729029,61.16668206
/Test Data/Dataset82/36\346.jpg,36,70.75691232,145.3467626,164.257919,119.8578511,107.1582099,159.2791052,79.74318458,110.3113696,116.3086067,87.57524259
/Test Data/Dataset82/36\36.jpg,36,145.5406697,67.22116512,177.9838739,129.5252534,59.48804166,161.1145697,60.67923941,99.67797214,26.97591291,88.02547513
/Test Data/Dataset82/36\390.jpg,36,115.9693042,59.51123344,165.9083889,124.9355085,111.4486987,143.9150612,28.86309904,106.6797076,115.2454404,76.43527022
/Test Data/Dataset82/36\418.jpg,36,123.1274633,72.4722438,171.6400754,109.1916576,32.78946394,169.6520459,101.4955725,75.26718746,73.98074845,53.02147211
/Test Data/Dataset82/36\428.jpg,36,119.9103125,69.63151832,160.8760629,120.7998032,47.8004813,173.9110957,63.12707966,81.1667001,54.69621862,45.03745351
/Test Data/Dataset82/36\432.jpg,36,119.9103125,69.63151832,160.8760629,120.7998032,47.8004813,173.9110957,63.12707966,81.1667001,54.69621862,45.03745351
/Test Data/Dataset82/36\434.jpg,36,155.8894028,70.7575547,144.57379,95.08452254,60.91487471,155.8245181,79.44777812,122.6725955,68.70270691,62.16530018
/Test Data/Dataset82/36\436.jpg,36,141.8558498,90.56220256,176.1977547,129.0719229,100.3773312,159.9049718,31.36176578,87.91107268,106.4621509,44.38702703
/Test Data/Dataset82/36\450.jpg,36,126.8436013,113.472179,159.5511077,142.5437764,48.66675842,151.3252209,79.76339936,95.33992648,50.08145159,72.0975062
/Test Data/Dataset82/36\454.jpg,36,126.8436013,113.472179,159.5511077,142.5437764,48.66675842,151.3252209,79.76339936,95.33992648,50.08145159,72.0975062
/Test Data/Dataset82/36\46.jpg,36,,,,,,,,,,
/Test Data/Dataset82/36\5.jpg,36,,,,,,,,,,
/Test Data/Dataset82/36\76.jpg,36,138.2332047,102.5429781,173.6561539,156.8864225,35.44334162,152.1388184,57.24138838,33.02999875,59.67759575,58.30000652
/Test Data/Dataset82/36\81.jpg,36,156.3199287,94.92428472,175.26612,137.8557007,62.83795152,165.7864208,44.88514934,62.51306958,84.74213822,39.03712454
/Test Data/Dataset82/37\._180.jpg,37,156.3199287,94.92428472,175.26612,137.8557007,62.83795152,165.7864208,44.88514934,62.51306958,84.74213822,39.03712454
/Test Data/Dataset82/37\109.jpg,37,129.4384095,127.5492347,169.1630714,143.7352171,134.7124491,175.2659958,99.85782994,127.8912215,54.97183421,9.113485486
/Test Data/Dataset82/37\11.jpg,37,161.8807499,121.9349654,157.0951161,155.4118127,136.1384475,175.3331467,53.78980012,129.4409107,39.30003704,7.701558244
/Test Data/Dataset82/37\117.jpg,37,,,,,,,,,,
/Test Data/Dataset82/37\136.jpg,37,100.4000971,114.5309197,168.5654798,113.1298794,119.4249759,158.3901639,55.64093154,119.5914241,116.5254665,80.15456454
/Test Data/Dataset82/37\153.jpg,37,153.5435884,114.105569,176.1323426,149.2879315,109.4628073,169.7092557,96.46676647,168.2790215,128.8487809,24.47015195
/Test Data/Dataset82/37\155.jpg,37,163.0282914,107.8182689,177.0337449,137.3011785,99.57574448,167.2844267,117.0352314,112.1828239,115.9044555,37.11677908
/Test Data/Dataset82/37\164.jpg,37,87.31644591,150.4542369,177.1739777,63.83417272,150.4922731,174.8942439,146.4765631,157.3868511,133.4432255,27.4509974
/Test Data/Dataset82/37\180.jpg,37,164.3009511,118.6911286,170.7237561,167.9183352,127.0325659,175.380007,155.2945592,111.7404133,54.46192273,15.98487412
/Test Data/Dataset82/37\20.jpg,37,103.2598068,134.8489517,148.0336513,64.5366149,135.7992598,162.3474692,150.5638318,129.690353,131.8829222,15.68960752
/Test Data/Dataset82/37\200.jpg,37,145.483873,105.0087709,166.4778477,150.9068816,103.5570579,158.1024288,70.74639972,122.8951959,90.18573448,43.23440412
/Test Data/Dataset82/37\202.jpg,37,176.2415977,97.77265561,170.1523725,174.7472879,77.4476436,142.689278,80.67217653,107.248741,158.6616515,53.68904293
/Test Data/Dataset82/37\220.jpg,37,177.7913962,98.09836681,135.9926946,178.5923348,96.73224498,122.2002432,93.65911445,94.1670313,103.0578076,46.94830272
/Test Data/Dataset82/37\247.jpg,37,177.7913962,98.09836681,135.9926946,178.5923348,96.73224498,122.2002432,93.65911445,94.1670313,103.0578076,46.94830272
/Test Data/Dataset82/37\255.jpg,37,107.1302893,174.4780447,176.3841763,160.7010152,170.9000847,170.3467603,175.3733227,159.2645648,29.99399645,50.94197946
/Test Data/Dataset82/37\256.jpg,37,132.2759973,126.5303521,160.3161087,171.9721935,137.501167,175.3054305,124.5017572,116.7990467,79.11415681,28.53422846
/Test Data/Dataset82/37\262.jpg,37,174.1365372,123.855895,156.6716516,176.8918648,115.383264,142.6260713,155.534025,126.8209119,97.85727372,29.32004706
/Test Data/Dataset82/37\27.jpg,37,174.1365372,123.855895,156.6716516,176.8918648,115.383264,142.6260713,155.534025,126.8209119,97.85727372,29.32004706
/Test Data/Dataset82/37\283.jpg,37,103.9996488,107.8063475,168.7133978,158.2266603,106.308727,175.2630152,68.94339087,125.1965884,130.8193604,42.25576481
/Test Data/Dataset82/37\286.jpg,37,157.0959874,92.91836362,144.4962923,117.2984178,105.0520188,135.9956348,85.65751635,86.75062025,142.8662239,77.62175997
/Test Data/Dataset82/37\29.jpg,37,174.1604633,134.1154826,172.6516799,176.9958554,141.1558968,176.8958562,146.4662339,140.9838685,95.096791,28.13493709
/Test Data/Dataset82/37\30.jpg,37,173.7949644,104.7666466,154.5732823,119.849367,118.4203721,153.2992215,114.734493,90.3957916,42.98588585,89.79386512
/Test Data/Dataset82/37\31.jpg,37,131.020221,92.1704153,159.4283261,130.6249156,84.63418536,156.5486756,90.35090335,105.5297317,123.5710969,51.18476654
/Test Data/Dataset82/37\311.jpg,37,171.5868236,115.6702948,170.5386458,157.7394812,121.6314425,175.1964634,54.78403481,156.9875529,123.8450841,24.86038514
/Test Data/Dataset82/37\317.jpg,37,171.5868236,115.6702948,170.5386458,157.7394812,121.6314425,175.1964634,54.78403481,156.9875529,123.8450841,24.86038514
/Test Data/Dataset82/37\319.jpg,37,124.2074069,121.1308489,165.6096523,175.8129066,118.6183126,174.46056,66.70439118,133.3104241,131.0305613,29.34009798
/Test Data/Dataset82/37\320.jpg,37,,,,,,,,,,
/Test Data/Dataset82/37\323.jpg,37,167.7342111,131.8316961,159.8993057,173.9090385,139.2039058,160.4022992,123.0940349,137.844813,70.71079619,35.20706077
/Test Data/Dataset82/37\333.jpg,37,169.8171451,130.1599427,179.0363614,172.6888977,149.5442364,172.1307631,142.8900155,139.5895619,87.63904864,33.17269884
/Test Data/Dataset82/37\336.jpg,37,123.1960986,119.6242724,165.4746606,147.5848478,129.8834846,176.0147937,93.76973265,118.8999784,59.97793371,11.19748533
/Test Data/Dataset82/37\356.jpg,37,94.81207657,46.47787121,91.80064255,131.4461067,56.41927511,99.76007413,63.03000334,51.84237448,128.4446106,60.80843748
/Test Data/Dataset82/37\357.jpg,37,89.01836059,115.7129918,42.85914543,132.0861711,114.2751648,27.13448154,113.7611582,116.1750627,141.4889448,29.1748783
/Test Data/Dataset82/37\375.jpg,37,130.6702961,127.4902596,158.4847545,178.7856887,134.6211831,172.1296486,65.60221715,141.3180602,100.5531982,44.70130549
/Test Data/Dataset82/37\380.jpg,37,,,,,,,,,,
/Test Data/Dataset82/37\394.jpg,37,172.1115071,128.5087377,176.054398,164.0242089,108.7115184,171.8714643,27.99987296,145.0193453,153.0675489,24.00166899
/Test Data/Dataset82/37\399.jpg,37,177.1848291,127.6733173,168.4322109,177.2968356,144.3651019,152.4371933,150.8110181,136.1868761,14.15749059,7.273983206
/Test Data/Dataset82/37\4.jpg,37,116.1983185,174.473432,169.1807414,147.6319324,175.5117016,179.2670594,141.2937927,169.6854705,26.61811224,23.66700012
/Test Data/Dataset82/37\401.jpg,37,139.7336231,130.954695,145.5953711,130.1485597,124.6218262,152.6287026,124.6375603,144.54025,130.1153651,34.84980968
/Test Data/Dataset82/37\406.jpg,37,139.7336231,130.954695,145.5953711,130.1485597,124.6218262,152.6287026,124.6375603,144.54025,130.1153651,34.84980968
/Test Data/Dataset82/37\414.jpg,37,170.144201,32.00678791,8.029905429,176.5925262,69.3211211,168.2007899,24.72254962,42.74181469,143.8908461,97.2017099
/Test Data/Dataset82/37\437.jpg,37,172.0122051,130.7334043,164.6312402,178.1196827,99.96837346,136.389058,42.48305645,146.060418,120.3191,13.41762409
/Test Data/Dataset82/37\439.jpg,37,140.4270066,103.6371174,168.531068,150.1831142,116.3982457,178.717877,92.95530281,106.5456526,90.28800382,7.660621444
/Test Data/Dataset82/37\44.jpg,37,172.5902657,105.8982447,168.6306472,147.6693794,100.0825174,151.6351572,120.0404313,110.8047263,134.6597408,37.616941
/Test Data/Dataset82/37\448.jpg,37,172.5902657,105.8982447,168.6306472,147.6693794,100.0825174,151.6351572,120.0404313,110.8047263,134.6597408,37.616941
/Test Data/Dataset82/37\450.jpg,37,158.4048862,103.1962347,168.2960397,97.76751428,134.2087345,155.8218902,154.8584807,103.3461438,153.1280483,26.90220408
/Test Data/Dataset82/37\496.jpg,37,146.7810335,102.9375167,167.6618157,167.1758289,116.0632805,166.3114606,84.60933068,116.1342127,99.7079509,52.12986398
/Test Data/Dataset82/37\535.jpg,37,156.3842311,117.823056,175.1547719,130.7099259,114.8856046,167.2486158,133.2948952,119.8889097,121.3971154,55.69902909
/Test Data/Dataset82/37\55.jpg,37,149.7322232,126.7058606,176.3417128,109.8724171,110.3190054,178.4443524,126.595093,121.5538571,147.6569339,42.45636237
/Test Data/Dataset82/37\558.jpg,37,149.7322232,126.7058606,176.3417128,109.8724171,110.3190054,178.4443524,126.595093,121.5538571,147.6569339,42.45636237
/Test Data/Dataset82/37\587.jpg,37,169.769925,109.5914225,154.1789891,139.6872993,103.3387152,150.792711,49.11199061,151.9457809,162.6426666,18.60333175
/Test Data/Dataset82/37\6.jpg,37,169.769925,109.5914225,154.1789891,139.6872993,103.3387152,150.792711,49.11199061,151.9457809,162.6426666,18.60333175
/Test Data/Dataset82/37\612.jpg,37,169.769925,109.5914225,154.1789891,139.6872993,103.3387152,150.792711,49.11199061,151.9457809,162.6426666,18.60333175
/Test Data/Dataset82/37\63.jpg,37,94.81704111,97.51047942,173.3823341,128.1387434,98.85382354,175.0390772,71.56612526,93.9676548,113.7552232,36.92612835
/Test Data/Dataset82/37\68.jpg,37,135.3675813,94.43131466,172.6084433,153.717071,103.2531524,171.3571284,84.41497622,103.9153424,107.6901876,45.91450561
/Test Data/Dataset82/37\7.jpg,37,154.6699543,96.68185555,163.239336,167.6389857,89.54875312,155.4616388,87.98003749,96.42153498,109.3561376,43.54240137
/Test Data/Dataset82/37\70.jpg,37,164.55761,103.9958379,175.2059995,139.722438,96.59126071,168.7842939,102.235756,106.1202353,109.3111482,46.34126834
/Test Data/Dataset82/37\71.jpg,37,171.4254193,129.3765,155.312526,164.4792877,135.3776425,157.4413825,77.80278215,131.8115861,134.282046,40.92045817
/Test Data/Dataset82/37\72.jpg,37,173.1818686,108.5139745,169.5701417,172.7004625,108.4152584,167.8800813,50.18114509,124.8963391,145.6193615,22.93938328
/Test Data/Dataset82/37\87.jpg,37,151.4388206,117.1855695,160.4637706,174.1224464,118.1231392,172.6060334,75.96615469,108.2815854,155.6710658,44.27807488
/Test Data/Dataset82/38\105.jpg,38,124.183149,124.7623472,156.5192255,128.365315,147.8886226,146.2775125,160.2812258,114.5960104,113.7978224,78.44359987
/Test Data/Dataset82/38\113.jpg,38,,,,,,,,,,
/Test Data/Dataset82/38\128.jpg,38,161.0125644,137.6369384,147.5810199,124.0678591,133.7750872,146.1841509,127.8105135,129.1521001,135.8873617,85.11454989
/Test Data/Dataset82/38\131.jpg,38,,,,,,,,,,
/Test Data/Dataset82/38\135.jpg,38,143.4083577,146.5788164,157.5139378,169.6989903,139.5412183,155.4802111,64.5466724,143.2826721,75.37865518,63.0590995
/Test Data/Dataset82/38\171.jpg,38,146.6601678,144.4929897,168.7606424,145.3370151,141.077845,153.9289766,177.9441287,173.2504847,105.9470014,48.36592499
/Test Data/Dataset82/38\172.jpg,38,164.7408751,136.6908782,117.9022685,132.963555,168.9635949,153.3520304,95.1135903,137.264297,169.5073696,86.38032386
/Test Data/Dataset82/38\177.jpg,38,130.5767438,143.699568,148.9867794,172.5149284,125.7714664,144.4274191,37.93666093,120.5266967,92.54950571,44.01500512
/Test Data/Dataset82/38\18.jpg,38,145.4014222,168.19746,171.8976459,134.7379367,152.0283585,161.8611585,146.749425,170.3234971,105.0637771,42.32918805
/Test Data/Dataset82/38\185.jpg,38,136.6199742,171.031501,143.2807944,122.3391897,164.8755649,137.2588394,147.1233393,164.5271909,111.0945,50.99911818
/Test Data/Dataset82/38\206.jpg,38,161.1807363,104.1763299,145.1999207,116.1314234,107.021163,131.1759079,80.61026174,78.34929627,120.6003059,80.15005153
/Test Data/Dataset82/38\231.jpg,38,161.5726278,155.398983,175.8092462,169.3491462,155.3526893,168.9567883,112.6401095,106.4364921,81.62652343,60.88638382
/Test Data/Dataset82/38\242.jpg,38,161.5726278,155.398983,175.8092462,169.3491462,155.3526893,168.9567883,112.6401095,106.4364921,81.62652343,60.88638382
/Test Data/Dataset82/38\244.jpg,38,156.9255406,156.7692261,179.4012356,155.5527411,121.5799957,159.8727662,66.44085392,117.2891327,77.84233846,46.02509477
/Test Data/Dataset82/38\252.jpg,38,132.7444814,135.9552726,137.4327675,171.4583383,133.3802497,132.1648571,74.28911964,103.6072496,121.4005212,68.78863559
/Test Data/Dataset82/38\267.jpg,38,176.8413679,127.8271749,143.1725406,115.0232843,127.2128958,134.4268455,115.7546044,99.70962334,136.4336897,86.64937909
/Test Data/Dataset82/38\281.jpg,38,140.1004769,138.7909741,159.3687861,173.3471434,129.5223175,160.0590534,30.1216313,90.6356886,131.6966502,54.77721983
/Test Data/Dataset82/38\284.jpg,38,132.7487292,123.3001954,135.9623793,150.5741218,116.5158164,130.5180877,64.42490399,94.25994429,107.2048351,55.33566246
/Test Data/Dataset82/38\287.jpg,38,149.6895307,157.0116896,153.2140834,118.064203,156.3483182,149.8479459,127.0295513,130.5815031,99.85031162,53.42361518
/Test Data/Dataset82/38\31.jpg,38,103.761957,129.7057141,128.8654047,130.3051423,130.5732314,152.6171465,42.58415616,127.4810792,93.9087847,112.7994016
/Test Data/Dataset82/38\323.jpg,38,143.1043832,146.2742305,163.2837936,154.2244474,146.8711582,151.0839675,148.8190854,132.1047795,91.85773325,61.4608505
/Test Data/Dataset82/38\326.jpg,38,143.7489468,177.8095294,165.9169648,118.6859339,164.2482832,176.6445361,128.1934972,159.46956,39.70837714,19.6202405
/Test Data/Dataset82/38\330.jpg,38,158.7124209,138.4454918,152.1718982,124.6998711,130.7746361,153.8580777,125.8495569,132.5182766,137.1217481,82.31235141
/Test Data/Dataset82/38\338.jpg,38,151.8721459,138.3181787,161.7758304,171.2619257,118.0818326,155.0016223,35.07789198,115.473983,44.95772996,44.39536672
/Test Data/Dataset82/38\342.jpg,38,57.01478471,152.7403571,164.0184596,60.75674327,153.963431,171.9151196,115.8768526,139.565149,91.63808107,32.94682986
/Test Data/Dataset82/38\349.jpg,38,116.3627367,123.4457556,155.7978518,138.5014966,129.5268513,147.1668012,91.00126693,112.0965656,121.5114571,71.99882225
/Test Data/Dataset82/38\372.jpg,38,150.4415895,140.8118031,169.8197365,127.8287935,152.5012372,151.008549,161.4280471,140.5838642,110.8316884,50.41913894
/Test Data/Dataset82/38\387.jpg,38,171.5572807,141.1783805,171.7704925,166.6839004,138.3742032,169.2116076,38.24981137,91.04575027,55.62527485,16.09706259
/Test Data/Dataset82/38\409.jpg,38,159.1111976,158.8811894,163.8559368,135.1614913,147.4832402,158.9516444,170.6410632,131.0349733,102.196917,50.42626691
/Test Data/Dataset82/38\417.jpg,38,130.1034736,132.8897205,153.2403614,172.5823638,108.9923402,162.0702538,39.51514913,100.8041851,92.19198609,46.54650881
/Test Data/Dataset82/38\47.jpg,38,126.0365937,135.762133,151.391419,130.8914157,149.045791,142.3808801,133.5703316,129.0868892,108.6467176,71.27914508
/Test Data/Dataset82/38\49.jpg,38,163.1007138,159.6968097,176.1608112,152.1224156,163.1314155,154.969362,84.96882285,152.1830952,64.5133155,34.04788055
/Test Data/Dataset82/38\491.jpg,38,164.078208,145.6525367,165.6295475,168.5588104,150.466526,172.3863048,70.96830004,130.1926619,98.01394852,44.77811066
/Test Data/Dataset82/38\505.jpg,38,138.1497415,130.0351056,146.1288282,175.7253128,124.0819647,142.6616803,99.42363906,98.74446273,102.0675827,72.12395552
/Test Data/Dataset82/38\511.jpg,38,151.7831907,133.3295278,135.2070082,117.67984,134.4180354,126.4304224,103.872792,105.3186639,121.3797222,91.9662132
/Test Data/Dataset82/38\515.jpg,38,168.6834146,158.2943277,177.3026061,154.3084991,157.9818239,174.3702685,58.25230042,138.8893026,50.57975587,14.04196034
