ImgPath,centroid1x,centroid1y,centroid1z,centroid2x,centroid2y,centroid2z,centroid3x,centroid3y,centroid3z,centroid4x,centroid4y,centroid4z,centroid5x,centroid5y,centroid5z,centroid6x,centroid6y,centroid6z,cx0,cx11,cx12,cx13,cx14,cx15,cx16,cx23,cx24,cx25,cx26,cx27,cx28,cy0,cy11,cy12,cy13,cy14,cy15,cy16,cy23,cy24,cy25,cy26,cy27,cy28,cz0,cz11,cz12,cz13,cz14,cz15,cz16,cz23,cz24,cz25,cz26,cz28,label
../kotu/Test Data/Dataset82/35\2_146.jpg,0.444931885,0.31048126,-0.507922063,0.375606467,0.563855618,-0.054985239,0.454880645,0.815575123,-0.297751064,0.535554846,0.511844158,-0.017849836,0.441542268,0.657739828,-0.317888324,0.437651227,0.543887605,0.039337833,0.343803108,0.322553664,0.326304674,0.372426271,0.448290706,0.431839466,0.560200274,0.443731785,0.449676394,0.546668231,0.548645735,0.616264522,0.366319805,0.264720678,0.411469489,0.400856227,0.578276992,0.325195014,0.701820374,0.20539254,0.661988974,0.709850788,0.558204353,0.862512469,0.315339148,0.874362111,-0.406903803,-0.196098521,-0.446061283,-0.023567712,-0.558558166,-0.116852492,-0.51914674,0.114524275,-0.114480779,0.028024739,-0.393122911,-0.385649502,35
../kotu/Test Data/Dataset82/35\2_147.jpg,0.401707222,0.323541741,0.147270802,0.585873057,0.311862508,-0.373296345,0.523080409,0.884973029,-0.050733718,0.502936602,0.579348654,0.035050844,0.475982606,0.719340374,0.057883044,0.685301056,0.599964062,-0.047952026,0.661273777,0.827380061,0.568042517,0.581908941,0.387263596,0.34833017,0.249815553,0.73687017,0.600514352,0.491652936,0.25939095,0.2802867,0.709335923,0.27430737,0.423268616,0.444708258,0.332723081,0.342357665,0.179595828,0.183559299,0.820042849,0.823292375,0.556580722,0.89002049,0.36142239,0.941606224,-0.101365775,0.087716192,0.258353293,-0.444762439,0.154796183,-0.513834178,0.028662929,-0.120796606,0.120480284,0.138232946,-0.205184445,-0.067496993,35
../kotu/Test Data/Dataset82/35\2_15.jpg,0.408764104,0.464071741,-0.238044977,0.414221227,0.527359446,0.281849225,0.574326853,0.535986602,-0.080470858,0.492732296,0.798412402,0.209788094,0.410228739,0.522931357,-0.162031305,0.455082277,0.644640346,0.205789109,0.356536627,0.312016845,0.284849852,0.40883857,0.415487081,0.521808267,0.525955379,0.415537655,0.396000683,0.637692332,0.549835682,0.424966902,0.777144194,0.228120327,0.390560627,0.400682002,0.562170208,0.570095181,0.629347503,0.421438038,0.726783276,0.727792799,0.816577137,0.44031927,0.851876795,0.439847738,0.036340408,0.302785754,-0.221504778,0.341521353,-0.29008162,0.213237524,-0.202548534,0.155843988,-0.156355605,0.17073454,-0.108233534,0.023176566,35
../kotu/Test Data/Dataset82/35\2_159.jpg,0.40817372,0.308309615,-0.019205038,0.442108214,0.309357762,-0.459380209,0.395461321,0.438727985,0.276114196,0.401369969,0.817257643,-0.056292102,0.454084565,0.514650156,0.179309783,0.430737178,0.67739585,-0.233295177,0.537497163,0.556481361,0.511369228,0.405736089,0.377417564,0.364107192,0.335734367,0.494598806,0.468599498,0.241131365,0.382284969,0.468379736,0.335499495,0.233151108,0.422886103,0.398501992,0.35242644,0.362907469,0.152760744,0.163519382,0.781933963,0.721538723,0.827367485,0.423909754,0.84247148,0.170735478,-0.186776832,0.12659204,0.079899155,-0.508412898,0.02242839,-0.465310544,-0.159942657,-0.141384557,0.141123146,-0.154083788,0.316907048,0.370312393,35
../kotu/Test Data/Dataset82/35\2_16.jpg,0.41036287,0.564540923,-0.454678605,0.404351612,0.555276275,0.082074657,0.421459228,0.728917678,-0.116236642,0.488331805,0.589372218,0.230739787,0.395528833,0.658971429,-0.2895065,0.384400874,0.599345505,0.172925164,0.342448294,0.302396536,0.299968898,0.401785135,0.413041741,0.508873165,0.51807797,0.354282141,0.345274031,0.496523947,0.54134357,0.614189327,0.377760082,0.437891513,0.516873717,0.530280471,0.577350616,0.586962223,0.57160449,0.576380074,0.686529338,0.714848697,0.59463346,0.731785119,0.486953855,0.740119219,-0.246133655,0.264797181,-0.483482957,0.146665007,-0.512227356,0.008205653,-0.368325502,0.165718094,-0.165763617,0.261704087,-0.219272926,0.036326617,35
../kotu/Test Data/Dataset82/35\2_166.jpg,0.425306251,0.368669569,0.029203857,0.451797158,0.386566341,-0.520662367,0.391661177,0.535648207,0.276782826,0.503890971,0.854476631,-0.096389425,0.490112881,0.570146163,0.193213639,0.50095437,0.710394243,-0.271117792,0.512561858,0.587751567,0.5513044,0.448384643,0.422244877,0.319255263,0.302369475,0.579131663,0.533560693,0.335979879,0.385473549,0.596561372,0.255949289,0.356545359,0.478657663,0.459315121,0.392471522,0.372224927,0.288569838,0.27446866,0.79200685,0.72977221,0.860518217,0.521351159,0.910904825,0.355821252,-0.206324339,0.067961492,0.091899015,-0.587830782,0.075812265,-0.517932713,-0.080099709,-0.154445171,0.154021159,-0.202684596,0.333720744,0.342606574,35
../kotu/Test Data/Dataset82/35\2_175.jpg,0.579050382,0.372643898,-0.574837973,0.636387527,0.370468686,0.138262636,0.487460782,0.714320262,-0.140097409,0.636156519,0.497864425,0.281087215,0.480082989,0.610342522,-0.320871443,0.522529066,0.530581822,0.224301125,0.444980323,0.450241625,0.365848124,0.645544052,0.593775153,0.813376904,0.777527869,0.441265941,0.381137252,0.676079631,0.69326359,0.791123986,0.387981504,0.30726552,0.424691707,0.420838475,0.379098773,0.382104605,0.307615578,0.314988613,0.661551297,0.688806832,0.505502462,0.72138226,0.326539516,0.732771695,-0.277683109,0.320376664,-0.494387478,0.204457954,-0.637857735,0.06031156,-0.592268705,0.162387952,-0.162486553,0.360497028,-0.305740297,0.047934622,35
../kotu/Test Data/Dataset82/35\2_180.jpg,0.545875321,0.198568871,-0.170626355,0.627332687,0.722387751,-0.166368455,0.408258448,0.850603501,-0.156606453,0.61024646,0.510947049,0.013865616,0.393008113,0.66956388,-0.141039307,0.558852355,0.605985363,-0.033482814,0.505680859,0.543619275,0.465792447,0.630844176,0.517295897,0.707534611,0.654537618,0.505727768,0.408920646,0.627210021,0.304311246,0.69780159,0.511543453,0.323318779,0.539042175,0.340585262,0.722921908,0.15149343,0.90519917,0.10362792,0.756210387,0.79904002,0.522703528,0.869066358,0.253927231,0.883704126,-0.226467654,0.046109542,-0.053101413,-0.162106946,-0.183479264,-0.241062671,-0.275298387,-0.009642044,0.009244061,0.005129349,-0.37926057,-0.099802852,35
../kotu/Test Data/Dataset82/35\2_181.jpg,0.545875321,0.198568871,-0.170626355,0.627332687,0.722387751,-0.166368455,0.408258448,0.850603501,-0.156606453,0.61024646,0.510947049,0.013865616,0.393008113,0.66956388,-0.141039307,0.558852355,0.605985363,-0.033482814,0.505680859,0.543619275,0.465792447,0.630844176,0.517295897,0.707534611,0.654537618,0.505727768,0.408920646,0.627210021,0.304311246,0.69780159,0.511543453,0.323318779,0.539042175,0.340585262,0.722921908,0.15149343,0.90519917,0.10362792,0.756210387,0.79904002,0.522703528,0.869066358,0.253927231,0.883704126,-0.226467654,0.046109542,-0.053101413,-0.162106946,-0.183479264,-0.241062671,-0.275298387,-0.009642044,0.009244061,0.005129349,-0.37926057,-0.099802852,35
../kotu/Test Data/Dataset82/35\2_186.jpg,0.499633213,0.321215361,-0.311990052,0.494468669,0.329597284,0.092340722,0.498080273,0.889158607,-0.130007271,0.522829513,0.517243365,0.27762949,0.486195236,0.729948223,-0.209874446,0.453266084,0.592273782,0.200348084,0.414346337,0.390396237,0.386989415,0.521982729,0.53348887,0.57102704,0.578421354,0.436945915,0.420237571,0.5324561,0.651358724,0.599086523,0.422644526,0.278315127,0.44656983,0.448167741,0.371343255,0.365784258,0.170878768,0.149694085,0.802747071,0.854325533,0.527504444,0.887351394,0.221478581,0.925798893,-0.11674954,0.362959862,-0.287821293,0.137315586,-0.360991687,0.008590935,-0.287157178,0.126814201,-0.126833975,0.343114406,-0.21496807,-0.048219766,35
../kotu/Test Data/Dataset82/35\2_2.jpg,0.394175857,0.379251262,-0.297820571,0.658614695,0.590137174,-0.089438764,0.408214351,0.430838346,-0.176422166,0.390105873,0.69525365,-0.210981229,0.445916404,0.499285241,-0.087715934,0.526165575,0.627150863,-0.329382,0.524534762,0.681383133,0.484329283,0.650820255,0.349388689,0.643640697,0.3488096,0.489929706,0.440206766,0.407183886,0.413213164,0.273204029,0.371223122,0.393050462,0.493945688,0.454574466,0.594355941,0.397874862,0.682109892,0.285304457,0.674383521,0.61090982,0.713123381,0.432371438,0.698254049,0.249233782,-0.447564363,-0.007144218,-0.124997713,-0.110767074,-0.259685427,0.204797313,-0.508778572,-0.041958086,0.04135666,-0.583841383,-0.179506749,-0.39111641,35
../kotu/Test Data/Dataset82/35\2_209.jpg,0.594177326,0.404502948,-0.764297783,0.531320075,0.320676188,-0.26876393,0.551830331,0.814959248,-0.198541219,0.612208794,0.490673999,0.145969832,0.510132968,0.706692497,-0.403110435,0.428658297,0.532681644,0.036641533,0.327931911,0.26308769,0.295850992,0.522423446,0.619502664,0.80844909,0.867178321,0.382639021,0.394015849,0.640248179,0.840532064,0.813739181,0.420943081,0.349845111,0.409406602,0.531551242,0.328704119,0.410318255,0.223917842,0.271639347,0.7001701,0.783196807,0.48846823,0.805329442,0.283383667,0.856351495,-0.721078694,0.058696236,-0.757028341,-0.194857389,-0.821767926,-0.342145741,-0.714097083,0.133297712,-0.133473307,0.245915547,-0.318829656,-0.143320695,35
../kotu/Test Data/Dataset82/35\2_219.jpg,0.525178591,0.416645318,0.044924402,0.51695018,0.422158043,-0.490327934,0.471554756,0.587760379,0.372858033,0.50951308,0.886463106,-0.078089014,0.587361137,0.621332775,0.202824665,0.539809704,0.746082366,-0.282594169,0.651441336,0.673818409,0.679019511,0.510988533,0.522134602,0.366043597,0.374381661,0.611003995,0.610700607,0.334606707,0.472363293,0.582928538,0.331600368,0.375531405,0.512681365,0.486837715,0.410539955,0.417666048,0.343252808,0.345432192,0.844932735,0.793491423,0.880632997,0.583669186,0.933823586,0.386120528,-0.270558178,0.119147748,0.041214131,-0.554983139,0.086740866,-0.421632946,0.006818209,-0.167447925,0.167002931,-0.185966864,0.400256932,0.551314235,35
../kotu/Test Data/Dataset82/35\2_229.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
../kotu/Test Data/Dataset82/35\2_252.jpg,0.373949756,0.696499904,-0.36706083,0.447885325,0.210273435,-0.171082333,0.357134521,0.499786059,-0.12570477,0.570091804,0.884703934,-0.134808684,0.42751052,0.60467128,-0.182343384,0.602129877,0.696141253,-0.138737557,0.51224792,0.548005164,0.450665265,0.469895452,0.328547597,0.325755358,0.342636406,0.564070165,0.471030861,0.694314301,0.360835433,0.451890945,0.239537269,0.316609025,0.358026356,0.525099158,0.175137997,0.683691025,0.097655952,0.880709529,0.840472519,0.777988076,0.889924884,0.510926604,0.923714399,0.210443497,-0.278566688,-0.118684106,-0.287296116,-0.167365402,-0.347040474,-0.215410873,-0.4668459,0.070610888,-0.071019635,-0.356352836,-0.1887144,-0.117380276,35
../kotu/Test Data/Dataset82/35\2_28.jpg,0.563750525,0.313595245,-0.617058814,0.556100895,0.251445393,-0.019188824,0.573325098,0.875526826,-0.155977714,0.640958836,0.492328227,0.34820202,0.513764441,0.719926924,-0.357100512,0.457703849,0.530178527,0.190458458,0.319494098,0.303878099,0.284739554,0.564231396,0.580584884,0.800193191,0.825927138,0.432973534,0.407226563,0.636259913,0.849327207,0.85364306,0.463421524,0.226713121,0.346110582,0.456954688,0.264288604,0.31876272,0.143936992,0.165068328,0.743257999,0.84135294,0.501166999,0.861473143,0.232559681,0.923754394,-0.346006006,0.43294853,-0.595783174,0.045765337,-0.682456195,-0.063049652,-0.572937071,0.16427359,-0.164506003,0.44738394,-0.311012357,0.007585219,35
../kotu/Test Data/Dataset82/35\2_329.jpg,0.445741852,0.414118141,-0.329082896,0.550885101,0.40222156,-0.349920591,0.458719641,0.547211369,-0.04876448,0.560352623,0.79848206,-0.076479403,0.464503954,0.595938702,-0.092250787,0.555913508,0.704364757,-0.207884073,0.519628167,0.564751685,0.467967629,0.591081619,0.415985584,0.496822,0.453272343,0.53159672,0.468429059,0.571392119,0.457115173,0.578069031,0.450614691,0.486050487,0.506562412,0.497528434,0.377598047,0.423116535,0.322504222,0.321709454,0.762132406,0.734172881,0.844399452,0.556114793,0.788914323,0.351346433,-0.425127655,0.107904829,-0.216711491,-0.37989974,-0.342500955,-0.383552849,-0.428036243,-0.005420059,0.005159577,-0.331922978,-0.065200448,-0.08625257,35
../kotu/Test Data/Dataset82/35\2_37.jpg,0.531672666,0.286232799,-0.651622713,0.546995352,0.279096544,0.164798327,0.585021496,0.761876146,-0.170019455,0.594690432,0.440580775,0.370182291,0.526489119,0.624853025,-0.382589807,0.471726398,0.498878568,0.278022483,0.379643172,0.350499183,0.312104434,0.549255669,0.547819972,0.741231203,0.735093594,0.463469416,0.433846325,0.601210594,0.833516598,0.719391286,0.487701565,0.257529914,0.373975098,0.390456766,0.290588677,0.296788275,0.172725856,0.171453357,0.686626792,0.738037944,0.436033815,0.746064365,0.199081719,0.801526129,-0.211459011,0.457336634,-0.573093474,0.230282202,-0.73309046,0.083255567,-0.648684204,0.204905912,-0.205019116,0.448304325,-0.369656831,0.064617582,35
../kotu/Test Data/Dataset82/35\2_418.jpg,0.520251036,0.501453827,0.105366461,0.504738698,0.326504876,-0.631863972,0.438290854,0.6002116,0.280905242,0.46962889,0.669705053,-0.106496163,0.531900903,0.594120622,0.193893261,0.570544094,0.605094443,-0.315215041,0.563308358,0.716378152,0.632056117,0.50231874,0.529783905,0.295519203,0.398913085,0.614188612,0.569446146,0.381065518,0.394200444,0.413632542,0.351225972,0.458856255,0.450604707,0.468223333,0.336269259,0.536370993,0.192640662,0.499767154,0.815879107,0.790141225,0.548799515,0.523997307,0.644436538,0.48649627,-0.217233002,0.058118649,0.093590803,-0.702133,0.190798834,-0.625420928,0.031709746,-0.207970858,0.207090303,-0.169636279,0.280998677,0.354626745,35
../kotu/Test Data/Dataset82/35\2_59.jpg,0.40292337,0.331557175,-0.440345546,0.468105644,0.444068611,0.164125731,0.571379513,0.855242789,-0.227496887,0.515871306,0.555734595,0.122184848,0.489057407,0.718710939,-0.269289638,0.447948247,0.620552858,0.214322771,0.454746157,0.339406461,0.238483921,0.517899692,0.42328006,0.547010779,0.54700613,0.407950521,0.383329988,0.596487761,0.845358312,0.543175638,0.485450238,0.497646213,0.51874125,0.494400501,0.481186509,0.330585063,0.332278073,0.16968596,0.771057248,0.833170652,0.571860075,0.828561664,0.324286461,0.90399605,-0.120003,-0.131919295,-0.348851919,0.216313109,-0.509344459,0.131569609,-0.462840259,0.138142899,-0.13931255,0.360330939,-0.319704443,-0.223473668,35
../kotu/Test Data/Dataset82/35\2_66.jpg,0.556360841,0.360761901,0.135058296,0.438144694,0.378057857,-0.690679967,0.477025847,0.540630013,0.594557792,0.400766333,0.870020151,-0.143488929,0.611976584,0.592079083,0.358382314,0.41398559,0.73664542,-0.456478039,0.626099408,0.581140339,0.747395158,0.404445469,0.544380307,0.328848273,0.377307057,0.546799481,0.628164828,0.11401695,0.460369766,0.541482568,0.342542946,0.373211533,0.501439095,0.472931325,0.384021819,0.359429538,0.248712659,0.249924839,0.846569657,0.786669254,0.861927509,0.51663667,0.901563287,0.318584114,-0.313545913,0.174143359,0.122841716,-0.792335629,0.237886503,-0.5148803,0.04444667,-0.284620583,0.28359881,-0.319989562,0.668706417,0.831368148,35
../kotu/Test Data/Dataset82/35\2_8.jpg,0.512893518,0.307555417,0.174743806,0.522516539,0.294187099,-0.245415375,0.499834071,0.454153101,0.273127561,0.511544923,0.742308577,-0.162273223,0.541235159,0.509557913,0.21875072,0.515699685,0.623713652,-0.195900028,0.538273394,0.580730557,0.565779507,0.519802868,0.506837428,0.46701619,0.466063619,0.574611127,0.559573591,0.391757369,0.498352379,0.568266273,0.441576242,0.329091609,0.412609577,0.41121015,0.289202005,0.300689369,0.180749714,0.210766733,0.715421081,0.674296498,0.743110299,0.44316709,0.768394351,0.244995713,-0.021106558,-0.118636757,0.189733565,-0.287400961,0.208163068,-0.229327992,0.126334786,-0.127565011,0.126998141,-0.240617901,0.339520454,0.352864087,35
../kotu/Test Data/Dataset82/35\2_90.jpg,0.415553749,0.658330977,-0.484777381,0.583216329,0.859964033,-0.883452465,0.489283601,0.494984885,0.163722058,0.466622452,0.523496886,-0.235844856,0.576411823,0.63788118,-0.086265743,0.617031376,0.676600913,-0.272967989,0.448002726,0.649108708,0.568016171,0.602672219,0.42135632,0.497868061,0.257288754,0.730911434,0.678204119,0.471073985,0.48301518,0.197881937,0.306631505,0.926552534,0.860357404,0.807052374,0.825619042,0.639473498,0.893915653,0.528467059,0.641571581,0.609331191,0.527873755,0.497259974,0.401045322,0.37836349,-0.464482635,-0.379312813,-0.429916292,-0.85348314,-0.502195001,-1.30619204,-0.52222085,-0.067084357,0.066770546,-0.261137396,0.104348518,0.32004711,35
../kotu/Test Data/Dataset82/35\2_91.jpg,0.706068854,0.729328891,0.087593456,0.718482176,0.730349004,-0.323405067,0.674858411,0.76456211,0.19213215,0.707503696,0.857514421,-0.080933886,0.728501797,0.78167661,0.125594571,0.724379977,0.821031809,-0.217979138,0.781080246,0.803191185,0.782472551,0.704628885,0.696315587,0.64762646,0.639418423,0.748696566,0.733418822,0.621252179,0.669614017,0.752562344,0.621542394,0.711266756,0.757262707,0.751566947,0.737577617,0.736468554,0.696206689,0.699951172,0.843946874,0.827194929,0.861885846,0.766267955,0.866710544,0.700223446,-0.132933706,0.089283906,0.074565142,-0.367866427,0.122735746,-0.280496925,0.06547948,-0.112057149,0.111885145,-0.220028415,0.190333426,0.274177879,35
../kotu/Test Data/Dataset82/35\2_92.jpg,0.542260677,0.379272838,-0.665410459,0.546972126,0.347180535,0.061126811,0.492466499,0.781610012,-0.212669781,0.515151987,0.45508196,0.452415918,0.487307777,0.654614031,-0.436330418,0.440862993,0.50459379,0.311783843,0.523547471,0.41967991,0.404418558,0.577883959,0.580378056,0.643352509,0.641985416,0.373363167,0.353666544,0.529545903,0.703838229,0.642546892,0.419894725,0.387474924,0.375577927,0.425112486,0.402305365,0.432097197,0.263658315,0.280608833,0.685639739,0.74606204,0.452563703,0.792667568,0.227042437,0.806100428,-0.311687857,0.517340899,-0.674923778,0.140527666,-0.760535419,-0.052591905,-0.560772181,0.249514148,-0.250062972,0.590392709,-0.384004503,-0.003941868,35
../kotu/Test Data/Dataset82/35\2_94.jpg,0.470852514,0.265121798,-0.135520952,0.490413348,0.273767442,0.192723433,0.51947396,0.501112014,-0.010637111,0.555254221,0.824587802,0.201055691,0.482662102,0.588004092,-0.068991036,0.546186944,0.694093525,0.150607685,0.512229085,0.480583429,0.436965197,0.47536242,0.455468029,0.515294194,0.520124316,0.487781227,0.469010085,0.670196176,0.542011023,0.507785261,0.547400773,0.356510937,0.453923225,0.451031893,0.257391244,0.252422601,0.109987855,0.091910899,0.85209918,0.819469094,0.776258171,0.493511289,0.845406055,0.190355659,0.029305173,0.329902291,-0.076926805,0.225059494,-0.159208655,0.17455253,-0.170427397,0.088516042,-0.089047432,0.184748739,-0.040998872,0.098134972,35
